,age_rating,app_name,app_size,copy_right,in_app_purchases,lang,num_reviews,price,review_ratings,seller_name,version,num_lang
0,9,PokÃ©mon GO,255.5,Infrequent/Mild Cartoon or Fantasy Violence,"100 PokÃ©Coins,$0.99,550 PokÃ©Coins,$4.99,1,200 PokÃ©Coins,$9.99","['English', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Spanish', ' Traditional Chinese']",77100,,3.9,"Niantic, Inc.",1.81.3,9
1,4,SolitaireÂ·,44.2,Â© 2017 Zynga Inc,,"['English', ' Danish', ' Dutch', ' Finnish', ' French', ' German', ' Greek', ' Italian', ' Japanese', ' Korean', ' Norwegian BokmÃ¥l', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Swedish', ' Traditional Chinese', ' Turkish']",410300,Card,4.6,Zynga Inc.,4.5.9,18
2,4,Angry Birds 2,575.2,Â© Rovio Entertainment Corporation,"Pile of gems,$0.99,Precious pouch of gems,$4.99,Blue's Bling!,$5.99","['English', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese', ' Turkish']",250600,Puzzle,4.7,Rovio Entertainment Oyj,2.21.1,12
3,4,PAC-MAN,103.9,Â©2017 BANDAI NAMCO Entertainment Inc.,"MAZE: PAC-MAN CLASSIC,$4.99,Spoon of Tokens,$1.99,NO ADS FOREVER,$0.99","['English', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish']",5700,Family,4.3,BANDAI NAMCO Entertainment America Inc.,6.6.3,10
4,4,Candy Crush Soda Saga,182.7,Â© King.com Limited 2014-2018. All rights reserved.,"XS Gold Bar package,$0.99,Hard Currency XS,$0.99,Hard Currency XS,$1.99","['English', ' Chinese', ' Japanese', ' Korean', ' Simplified Chinese', ' Traditional Chinese']",34100,Puzzle,4.5,King,1.118.4,6
5,4,Sonic Dash,170.9,"Â© SEGA All rights reserved. SEGA, the SEGA logo, SONIC THE HEDGEHOG and Sonic Dash are either registered trade marks or trade marks of SEGA Holdings Co., Ltd. or its affiliates.","BREEZE BUNDLE,$3.99,BOOSTER BUNDLE,$6.99,RED STAR RING STACK,$3.99","['English', ' French', ' German', ' Italian', ' Portuguese', ' Russian', ' Spanish']",28800,Action,4.5,SEGA,3.8.5,7
6,12,ROBLOX,131.3,Infrequent/Mild Cartoon or Fantasy Violence,"80 ROBUX,$0.99,800 ROBUX,$9.99,400 ROBUX,$4.99","['English', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Thai', ' Traditional Chinese', ' Turkish', ' Vietnamese']",268500,Adventure,4.5,Roblox Corporation,2.346.222214,15
7,4,Cooking Fever,103.4,Â© Nordcurrent,"Diner Pack,$0.99,Bistro Pack,$2.99,Buffet Pack,$4.99","['English', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Lithuanian', ' Malay', ' Polish', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish']",45900,Strategy,4.5,Nordcurrent,2.8.0,14
8,9,Crossy Road,126.2,Infrequent/Mild Profanity or Crude Humor,"PAC-MAN,Free,Fortune Chicken,$0.99,Festive Chicken,$0.99","['English', ' Arabic', ' French', ' German', ' Indonesian', ' Italian', ' Japanese', ' Korean', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese']",109000,Family,4.6,HIPSTER WHALE,3.1.2,13
9,9,Clash Royale,128.6,Infrequent/Mild Cartoon or Fantasy Violence,"Pouch of Gems,$4.99,Fistful of Gems,$0.99,Bucket of Gems,$9.99","['English', ' Arabic', ' Dutch', ' French', ' German', ' Italian', ' Japanese', ' Korean', ' Norwegian BokmÃ¥l', ' Portuguese', ' Russian', ' Simplified Chinese', ' Spanish', ' Traditional Chinese', ' Turkish']",550100,Strategy,4.7,Supercell,2.3.1,15
