age_rating,app_name,app_size,copy_right,in_app_purchases,lang,num_reviews,price,review_ratings,seller_name,version
9+,Pokémon GO,255.5 MB,Infrequent/Mild Cartoon or Fantasy Violence,"100 PokéCoins,$0.99,550 PokéCoins,$4.99,1,200 PokéCoins,$9.99","English, French, German, Italian, Japanese, Korean, Portuguese, Spanish, Traditional Chinese",77.1K Ratings,"
                    ,
                  ,Free,Offers In-App Purchases",3.9,"Niantic, Inc.",Version 1.81.3
4+,Solitaire·,44.2 MB,© 2017 Zynga Inc,,"English, Danish, Dutch, Finnish, French, German, Greek, Italian, Japanese, Korean, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",410.3K Ratings,"
                    #1 in Card
                  ,
                    ,
                  ,Free",4.6,Zynga Inc.,Version 4.5.9
4+,Angry Birds 2,575.2 MB,© Rovio Entertainment Corporation,"Pile of gems,$0.99,Precious pouch of gems,$4.99,Blue's Bling!,$5.99","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",250.6K Ratings,"
                    #17 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Rovio Entertainment Oyj,Version 2.21.1
4+,PAC-MAN,103.9 MB,©2017 BANDAI NAMCO Entertainment Inc.,"MAZE: PAC-MAN CLASSIC,$4.99,Spoon of Tokens,$1.99,NO ADS FOREVER,$0.99","English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",5.7K Ratings,"
                    #9 in Family
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.3,BANDAI NAMCO Entertainment America Inc.,Version 6.6.3
4+,Candy Crush Soda Saga,182.7 MB,© King.com Limited 2014-2018. All rights reserved.,"XS Gold Bar package,$0.99,Hard Currency XS,$0.99,Hard Currency XS,$1.99","English, Chinese, Japanese, Korean, Simplified Chinese, Traditional Chinese",34.1K Ratings,"
                    #37 in Puzzle
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,King,Version 1.118.4
4+,Sonic Dash,170.9 MB,"© SEGA All rights reserved. SEGA, the SEGA logo, SONIC THE HEDGEHOG and Sonic Dash are either registered trade marks or trade marks of SEGA Holdings Co., Ltd. or its affiliates.","BREEZE BUNDLE,$3.99,BOOSTER BUNDLE,$6.99,RED STAR RING STACK,$3.99","English, French, German, Italian, Portuguese, Russian, Spanish",28.8K Ratings,"
                    #77 in Action
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,SEGA,Version 3.8.5
12+,ROBLOX,131.3 MB,Infrequent/Mild Cartoon or Fantasy Violence,"80 ROBUX,$0.99,800 ROBUX,$9.99,400 ROBUX,$4.99","English, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Turkish, Vietnamese",268.5K Ratings,"
                    #4 in Adventure
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Roblox Corporation,Version 2.346.222214
4+,Cooking Fever,103.4 MB,© Nordcurrent,"Diner Pack,$0.99,Bistro Pack,$2.99,Buffet Pack,$4.99","English, French, German, Indonesian, Italian, Japanese, Korean, Lithuanian, Malay, Polish, Portuguese, Russian, Simplified Chinese, Spanish",45.9K Ratings,"
                    #2 in Strategy
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.5,Nordcurrent,Version 2.8.0
9+,Crossy Road,126.2 MB,Infrequent/Mild Profanity or Crude Humor,"PAC-MAN,Free,Fortune Chicken,$0.99,Festive Chicken,$0.99","English, Arabic, French, German, Indonesian, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",109K Ratings,"
                    #5 in Family
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.6,HIPSTER WHALE,Version 3.1.2
9+,Clash Royale,128.6 MB,Infrequent/Mild Cartoon or Fantasy Violence,"Pouch of Gems,$4.99,Fistful of Gems,$0.99,Bucket of Gems,$9.99","English, Arabic, Dutch, French, German, Italian, Japanese, Korean, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",550.1K Ratings,"
                    #7 in Strategy
                  ,
                    ,
                  ,Free,Offers In-App Purchases",4.7,Supercell,Version 2.3.1
